ID	sp10N2016	sp10N2017	sp10N2018	sp16N2016	sp16N2017	sp16N2018	sp1N2016	sp1N2017	sp1N2018	sp20N2016	sp20N2017	sp20N2018
Zotu34720				1			1			1		
Zotu34768	1											
Zotu82	48	2	10	34	95	59	44	21	4	16	79	18
Zotu5045	1			2		1	1					
Zotu172	2	1	3	1	30	9	3	3	1	2	11	6
Zotu757	5	2	9		7	2	12	6		7	19	1
Zotu9611	1									1		
Zotu2983	30		5		2		18	6		9		1
Zotu602	5	1	10	9	11	11	6	3	5	1	10	6
Zotu2776	2				1		1				16	
Zotu19652	1									1		
Zotu330	30	24	13	86	1	1	42	8	40	53	4	7
Zotu915	2			1	4		2		1	1	4	
Zotu1862			1	1	1			1				1
Zotu3635	3	1		1	3	1	3	1				
Zotu4336										1		
Zotu26784										1		
Zotu9133	2							1				
Zotu22151	2	1							3			
Zotu2734				1	1	1					3	
Zotu2229	3		1	1	3				1	2		
Zotu17761	3							3				
Zotu21	48	796	7	1174	12	40	300	56	537	30	129	105
Zotu50756	1			1	6		3	1			2	
Zotu1943	1		1			2	1		1		2	1
Zotu18711	1			1		1		1	12			2
Zotu490	4		3	2	69		4	11		3	1	1
Zotu197	81	8	53	30	12	1	92	47	36	56	57	25
Zotu4811	11			3			3					
Zotu16909	1					1						
Zotu2489	2		4	1			6					
Zotu613	2				1							
Zotu547	47			1	8		18	4		4	1	
Zotu10345	2				2			1				
Zotu2746	15	1		4	5		2	9		2	1	
Zotu157	8	2	4	4	9	2	1		1	7	5	2
Zotu2493	4				5			1		1	1	
Zotu1257	12		1	3	27		5	3		3		
Zotu871	6		1								1	
Zotu3587	2	1	8	5	1	48				1	6	1
Zotu303	12	5	11	19	30	49	10	9		38	47	11
Zotu1408	7			1	240		2	1	1			
Zotu6212												1
Zotu13047	4			1				3				
Zotu358	2		1		1	1					1	
Zotu6014	1			2		1						2
Zotu19647	1											
Zotu357	24	1	17	5	34	16	10	18	4	9	11	4
Zotu2272	3				2			1		1	1	1
Zotu9181	18				3		1					
Zotu2275	3		2		13			25		1	35	
Zotu14664	5				2					1		
Zotu708	11	4	2	1	12		3	17	1	12	13	
Zotu418	25		2				209	3		3		
Zotu4388	22		2				2	1				
Zotu6076	5			1	1					10		
Zotu337	17	1	1	28	27	9	18	8	3	15	198	3
Zotu3826								7				
Zotu40997	1											
Zotu269	13		4	7	32	35	42	19	5	4	40	18
Zotu20900	4		2	2	3	4	1	3		7	1	12
Zotu2794			4		1			2				
Zotu3488	12	2			2		5	2		2	2	
Zotu23652					1				1			
Zotu7413	1		2		1		2	2			1	1
Zotu25318					1		1				1	1
Zotu6398	3		4				2	1			1	2
Zotu45101	3	1			4		2				4	
Zotu9892					3	1	1		2	1	1	
Zotu4019	14	1					45	4		4		1
Zotu2566	1			6		1				14	93	3
Zotu994	5		4	1	3	3	6	3	2	4	3	1
Zotu9707	2			1								
