"10N2016" "10N2017" "10N2018" "16N2016" "16N2017" "16N2018" "19N2016" "19N2017" "19N2018" "1N2016" "1N2017" "1N2018" "20N2016" "20N2017" "20N2018" "23N2016" "23N2017" "23N2018" "3N2016" "3N2017" "3N2018" "6N2016" "6N2017" "6N2018" "17soil10N" "17soil16N" "17soil19N" "17soil1N" "17soil20N" "17soil23N" "17soil3N" "17soil6N" "18soil10N" "18soil16N" "18soil19N" "18soil1N" "18soil20N" "18soil23N" "18soil3N" "18soil6N" "16soil10N" "16soil16N" "16soil19N" "16soil1N" "16soil20N" "16soil23N" "16soil3N" "16soil6N"
"Zotu77" 138 0 0 0 32 0 1 0 0 12 86 0 0 0 0 0 6 4 7 0 1 2 0 11 7 20 40 20 4 6 13 12 24 1 5 17 2 5 7 88 20 0 39 0 7 5 24 643
"Zotu366" 6 1 0 0 8 0 3 7 3 0 0 0 3 1 2 0 0 0 0 0 2 0 0 1 4 12 7 0 13 32 0 2 13 26 1 0 5 7 0 2 0 4 1 0 10 2 0 0
"Zotu853" 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 1 1 0 1 0 0 1 0 0 0 0 0 5 0 0 0 4 0 5 0 0 6
"Zotu738" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 21 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Zotu1538" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0
"Zotu478" 22 0 0 1 17 0 0 0 0 0 18 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 0 0 0 0 0 5 1 0 122 0 0 0 0 0 0 0 1 3 0 0 1
"Zotu81" 3 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 144 0 22 3 1 665 1 144 858 0 0 0 0 1 438 0 0 0 0 0 0 24 1 0
"Zotu5718" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"Zotu6681" 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Zotu1096" 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 3 0 0 5 0 0 2 6 7
